I/ActivityThread(  924): Pub com.android.mms.SuggestionsProvider: com.android.mms.SuggestionsProvider
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/WVMExtractor(   62): Failed to open libwvm.so
E/MetadataRetrieverClient(   62): failed to extract an album art
E/WVMExtractor(   62): Failed to open libwvm.so
E/MetadataRetrieverClient(   62): failed to extract an album art
I/ActivityManager(  228): No longer want com.android.contacts (pid 697): hidden #16
W/System.err(  936): java.net.UnknownHostException: Unable to resolve host "chart.googleapis.com": No address associated with hostname
W/System.err(  936): 	at java.net.InetAddress.lookupHostByName(InetAddress.java:424)
W/System.err(  936): 	at java.net.InetAddress.getAllByNameImpl(InetAddress.java:236)
W/System.err(  936): 	at java.net.InetAddress.getAllByName(InetAddress.java:214)
W/System.err(  936): 	at org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator.java:137)
W/System.err(  936): 	at org.apache.http.impl.conn.AbstractPoolEntry.open(AbstractPoolEntry.java:164)
W/System.err(  936): 	at org.apache.http.impl.conn.AbstractPooledConnAdapter.open(AbstractPooledConnAdapter.java:119)
W/System.err(  936): 	at org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:360)
W/System.err(  936): 	at org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:555)
W/System.err(  936): 	at org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:487)
W/System.err(  936): 	at org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:465)
W/System.err(  936): 	at com.extend.battery.w.a(Unknown Source)
W/System.err(  936): 	at com.extend.battery.w.doInBackground(Unknown Source)
W/System.err(  936): 	at android.os.AsyncTask$2.call(AsyncTask.java:287)
W/System.err(  936): 	at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:305)
W/System.err(  936): 	at java.util.concurrent.FutureTask.run(FutureTask.java:137)
W/System.err(  936): 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1076)
W/System.err(  936): 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:569)
W/System.err(  936): 	at java.lang.Thread.run(Thread.java:856)
W/System.err(  936): Caused by: libcore.io.GaiException: getaddrinfo failed: EAI_NODATA (No address associated with hostname)
W/System.err(  936): 	at libcore.io.Posix.getaddrinfo(Native Method)
W/System.err(  936): 	at libcore.io.ForwardingOs.getaddrinfo(ForwardingOs.java:55)
W/System.err(  936): 	at java.net.InetAddress.lookupHostByName(InetAddress.java:405)
W/System.err(  936): 	... 17 more
W/System.err(  936): Caused by: libcore.io.ErrnoException: getaddrinfo failed: ETIMEDOUT (Connection timed out)
W/System.err(  936): 	... 20 more
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3232382f6e65742f78745f717461677569642f69666163655f737461745f616c6c", "id": "1505939605" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "65746830203120302030203020302038343534343020323935392033343236313720323439340a6c6f20312030203020302030203336333620353120333633362035310a0000000000000000000000000000000000000000000000000000000000000000", "id": "1505939605" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3232382f6e65742f78745f717461677569642f69666163655f737461745f616c6c", "id": "1446702691" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "35310a362035310a35310a362035310a310a310a310a310a310a35310a362035310a3633362035310a362035310a3633362035310a310a310a310a310a310a362035310a0000000000000000000000000000000000000000000000000000000000000000", "id": "1446702691" } }
W/ThrottleService(  228): unable to find stats for iface rmnet0
E/ThrottleService(  228): Error reading data file
I/qtaguid (  228): Failed write_ctrl(s 1 10050) res=-1 errno=1
W/NetworkManagementSocketTagger(  228): setKernelCountSet(10050, 1) failed with errno -1
I/qtaguid (  228): Failed write_ctrl(s 0 10019) res=-1 errno=1
W/NetworkManagementSocketTagger(  228): setKernelCountSet(10019, 0) failed with errno -1
W/System.err(  936): java.net.UnknownHostException: Unable to resolve host "chart.googleapis.com": No address associated with hostname
W/System.err(  936): 	at java.net.InetAddress.lookupHostByName(InetAddress.java:424)
W/System.err(  936): 	at java.net.InetAddress.getAllByNameImpl(InetAddress.java:236)
W/System.err(  936): 	at java.net.InetAddress.getAllByName(InetAddress.java:214)
W/System.err(  936): 	at org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator.java:137)
W/System.err(  936): 	at org.apache.http.impl.conn.AbstractPoolEntry.open(AbstractPoolEntry.java:164)
W/System.err(  936): 	at org.apache.http.impl.conn.AbstractPooledConnAdapter.open(AbstractPooledConnAdapter.java:119)
W/System.err(  936): 	at org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:360)
W/System.err(  936): 	at org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:555)
W/System.err(  936): 	at org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:487)
W/System.err(  936): 	at org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:465)
W/System.err(  936): 	at com.extend.battery.v.a(Unknown Source)
W/System.err(  936): 	at com.extend.battery.v.doInBackground(Unknown Source)
W/System.err(  936): 	at android.os.AsyncTask$2.call(AsyncTask.java:287)
W/System.err(  936): 	at java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:305)
W/System.err(  936): 	at java.util.concurrent.FutureTask.run(FutureTask.java:137)
W/System.err(  936): 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1076)
W/System.err(  936): 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:569)
W/System.err(  936): 	at java.lang.Thread.run(Thread.java:856)
W/System.err(  936): Caused by: libcore.io.GaiException: getaddrinfo failed: EAI_NODATA (No address associated with hostname)
W/System.err(  936): 	at libcore.io.Posix.getaddrinfo(Native Method)
W/System.err(  936): 	at libcore.io.ForwardingOs.getaddrinfo(ForwardingOs.java:55)
W/System.err(  936): 	at java.net.InetAddress.lookupHostByName(InetAddress.java:405)
W/System.err(  936): 	... 17 more
W/System.err(  936): Caused by: libcore.io.ErrnoException: getaddrinfo failed: ETIMEDOUT (Connection timed out)
W/System.err(  936): 	... 20 more
